Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,46,85,1000
2,0,44,211,1000
3,0,42,333,1000
4,0,41,453,1000
5,0,41,568,1000
6,0,40,680,1000
7,0,38,789,1000
8,0,38,895,1000
9,0,0,1000,1000
10,0,0,1000,1000
11,0,0,1000,1000
12,0,0,1000,1000
13,0,0,1000,1000
14,0,0,1000,1000
15,0,0,1000,1000
16,0,0,1000,1000
17,0,0,1000,1000
18,0,0,1000,1000
19,0,0,1000,1000
20,0,0,1000,1000
21,0,0,1000,1000
22,0,0,1000,1000
23,0,0,1000,1000
24,0,0,1000,1000
25,0,0,1000,1000
26,0,0,1000,1000
27,0,0,1000,1000
28,0,0,1000,1000
29,0,0,1000,1000
30,0,0,1000,1000
31,0,0,1000,1000
32,0,0,1000,1000
33,0,0,1000,1000
34,0,0,1000,1000
35,0,0,1000,1000
36,0,0,1000,1000
37,0,0,1000,1000
38,0,0,1000,1000
39,0,0,1000,1000
40,0,0,1000,1000
41,0,0,1000,1000
42,0,0,1000,1000
43,0,0,1000,1000
44,0,0,1000,1000
45,0,0,1000,1000
46,0,0,1000,1000
47,0,0,1000,1000
48,0,0,1000,1000
49,0,0,1000,1000
50,0,0,1000,1000
51,0,0,1000,1000
52,0,0,1000,1000
53,0,0,1000,1000
54,0,0,1000,1000
55,0,0,1000,1000
56,58,0,942,1000
57,184,0,816,1000
58,312,0,688,1000
59,429,0,571,1000
60,544,0,456,1000
61,660,0,340,1000
62,770,0,230,1000
63,877,0,123,1000
64,985,0,15,1000
